interest,canonical,topic
cryogenic electronics,,Architecture
compilation and simulation for quantum computing,,Compilers
healthcare iot,,
wireless and mobile systems,,Network
dynamic spectrum management,,Network
thin film semiconductors,,
biosensors,,
mu,,
electrical and computer engineering,,
cold molecular ions,,
organic electronics,,
medical,,
biomedical circuits and systems,,
quantum computation and information,,
computing platforms,,
logistic,,
light emitting devices,,
quantum computation,,
quantum computer architecture,,Architecture
photovoltaics,,
secure processors and caches,,Architecture
emerging device,,
neuromorphic accelerators,,
hardware-software co-design,HW/SW Codesign,Architecture
ion traps,,
variation adaptive,,
computer science education,,
advanced profiling,,
task-based execution,,Concurrency
ldpc codes,,
superconducting quantum circuits,,
wireless network on chip,,Network
inter chip communication,,Network
emerging integration technology,,Architecture
energy efficient networking,,Energy
energy efficiency data center,,Energy
colocation,,
memory architectures,,Architecture
data infra,,
focused ion beam,,
software engineer,Software Engineering,
mobile devices/flash memory,,Storage
ontology engineering,,
named data networking,,Network
measurement & perf. analysis,,Benchmark
security and privacy in cloud computing,,Security
virtual cluster management,,VM
side channel attacks,,Security
distributed system security,,Security
time memory tradeoff attacks,,Security
software testing and program analysis,,
applied ml in cyber security,,Security
optical interactions of electronic devices,,
machine learning theory,,
memory forensics,,Security
sgx,,
provable security,,Security
data driven security,,Security
side channel emanation attacks,,Security
computer network security,,Security
parallel graph processing,,HPC
analysis and optimization,,
topology,,
future internet architectures,,Network
tolerância a faltas,Fault Tolerance,
recuperação de intrusões,Intrusion Recovery,Security
redes ad hoc móveis,Ad-hoc Networks,Network
visual light communication,,Network
processing real-time unit,,
security and systems.,,Security
main memory,,Architecture
low energy communications and computing,,Energy
iot and cyberphysical systems (cps),,Security
switching,,Network
database evolution,,DB
scalable ai,,Data
photonic networks,,Network
lossless networks,,Network
computer architecture and runtime systems,,Architecture
compiler and parallel computing,,Compilers
network-on-chips,,Network
cloud platforms,,Cloud
wireless sensor networks and cyber-physical systems,,Network
routers,,Network
statistical machine translation,,
hpc runtimes and programming models,,HPC
performance analysi,Performance Analysis,Benchmark
computational climate science,,HPC
interactive visualization,,
gpudirect,,GPGPU
many core architecture,,Architecture
high performance systems,,HPC
compiler runtime,,Compilers
server-class soc,,Architecture
performance measurements,,Benchmark
dependable architecture,,Architecture
bioinformatic,,HPC
high performance interconnects,,Network
programming model and runtime systems,,Compilers
emergng applications and architecture,Emerging Applications and Architecture,
model explanation,,
metadata management,,DB
computer and network architectures,,Architecture
computer communication architecture,,Architecture
parallization,,Concurrency
mobile and wireless computing and c,Mobile and Wireless Computing and Communications,Network
performance modeling and simulation of networks and computer systems,,Benchmark
scientometrics,,
reslience,Resilience,
hpc networks - communications,,Network
cluster and cloud computing,,Cloud
hardware virtualization,,VM
hybrid systems,,
oceanography,,
social media and computing,,
general circulation models,,
downscaling,,
channel coding,,
multi-agent systems (mas),,
fundamentos de la ingenieria,,
réseaux,,
traitement d'images,,
smart city,,
soft computing,,
solid mechanics,,
sampled data control,,
control no lineal,,
generative systems,,
internet of thi,IoT,
teletraffic,,
mobile and wireless computing,,Network
mobility management,,
comptational sciences,,
context-awareness,,
multimedia big data,,
cyber-physical media and interactive media,,
smart buildings,,
云安全，可信计算，虚拟化安全，可信sdn,,
vanet,,
embedded and ubiquitous computing,,
smart computing & ai,,
wireless & wearable system security,,Security
demand response,,
photovoltaic systems,,
application mapping,,
manet,,
smart homes,,
quantum error correction,,
autonomous systems,,
social systems,,
traffic control,,
smart services,,
cyber-physical-social systems,,
quantum biology,,
embedded sys & robotics,,
3d model retrieval,,
计算机科学,,
object and hpc storage systems,,Storage
monsoons,,
microwaves,,
large displays,,
multimedia indexing,,
graph and social networks,,Data
learning analytics,,Data
generic programming,,
"high performance computing (mpi, pgas)",,HPC
computational linguistics,,
mobile crowdsensing,,
social semantic web,,
cyber-physical-human big data computing,,Data
urban poverty,,
variability analysis,,
model engineering,,
mobile software,,
computational linguistic,,
query understanding,,
dynamic software evolution,,
user behaviour modelling,,
multimedia & vision,,
biomedical image processing.,,
probabilistic systems,,
social information seeking,,
query relaxation,,DB
conversational search,,Data
critical infrastructure,,
surveillance,,Security
biomedical search,,
cyber analytics,,Security
survival analysis,,
diabetes,,
education research,,
coalgebra,,
federated search,,
multimedia processing and analysis,,
adaptive workflow and stream processing engines,,
natural language,,
graal,,
user engagement,,
applied logic,,
user studies,,
social influence propagation models,,
interactive information retrieval,,Data
intelligent healthcare,,
information discovery,,
opinion mining,,
computer games,,
functional brain networks,,
estimation theory,,
search engine performance optimization,,
enterprise architecture management,,
webir,,
nonlinear systems control,,
network embedding,,Network
large-scale statistical significance testing,,
optometry,,
discrete dynamical systems,,
real-world networks,,
adaptive information retrieval,,
spoken interaction design,,
human mobility modeling,,
enterprise modeling,,
timed automata,,
entity linking,,
digital humanities,,
statistical learning theory,,Data
e-discovery,,
ubiquitous knowledge discovery,,
combinatorial optimzation,,
sociology,,
proof assistants,,
behavior informatics,,
text representation,,Data
model-based systems engineering,,
metamodeling,,
personalization of information retrieval,,
query performance prediction,,DB
dynamic data driven applications systems,,
problem solving,,
service management,,
cognitive neuroscience,,
audio analytics,,
agent-based modeling,,
p2p lending,,
web search & data mining,,Data
applying mathematics in program analysis,,
code smell detection,,Compilers
microblog search,,
enzyme catalysis,,
information processing,,
networked estimation and control,,
user behavior,,
human in the loop,,
active learning,,
formal logic,,
biostatistics,,
probabilistic models,,
social networks and ubiquitous computing,,
bpmn,,
model driven engineering,,
social web,,
science of science,,
stylistics,,
software testing and verification,,
social dynamics,,
product search,,
computational wellness,,
multimedia ir,,
collaborative information seeking,,
search evaluation,,
information filtering,,
decentralized control,,
user simulation,,
legacy,,
social media computing,,
user-behavior modeling,,
memetics,,
point processes,,
formal models,,
web intelligence,,
empirical studies,,
information network analysis,,
signal and image processing,,
software modernization,,
question-answering community,,
electromagnetics,,
search engines,,Data
model driven development,,
probabilistic graphical model,,
decentralized statistical optimization over iot edges,,
percolation theory,,
concern-driven development,,
online computational advertising,,
science communication,,
big data information visualization and visual analysis,,Data
autism,,
mde,,
program logic,,
exploratory search,,
fuzzy systems,,
collaborative search,,
top-k queries,,Data
multimedia comuting and networking,,
mobility understanding,,
business analytics,,
transfer learning,,
higher-order statistics,,
live social media analysis,,
web and social media mining,,
spatiotemporal data management,,
speech and language technology,,
broad learning,,
semantic technologies,,
error recovery,,
crime investigation,,
social e-commerce,,
search log mining,,
digital watermarking,,
crowdfunding,,
planning,,
micro information systems,,
google's pagerank,,
probabilistic algorithms,,
information behaviour,,
physics computing,,
bioinformatics & system biology,,
social cognition,,
artifical intelligence,,
network computations,,Network
smart environments,,
information diffusion,,
software analysis,,
qa,,
dmml,,
health care applications,,
enumeration algorithms,,
personal information management,,
structured prediction,,
user profiling,,
risk-aware bpm,,
programming semantics and verification,,
location-based services,,
human decision making,,
active inference,,
housing,,
interactive theorem proving,,
industry 4.0,,
meta-learning,,
multimedia information processing,,
multimedia search,,
mobility data analysis,,
intelligent user interfaces,,
model driven architecture,,
model transformation / synchronization,,
sparse learning,,Data
relational learning,,
time-series,,Data
marketing,,
adversarial learning,,
crowdsourcing and human computation,,
multimedia information retrieval,,Data
artificial intellignence,,
spatial and textual data manag,,
data mining mobile intelligence recommender system,,Data
content delivery and consumption,,
retrieval,,
goal modeling,,
rule learning,,
digital libraries,,
digital library,,
remote sensing.,,
bing,,
spatial crowdsourcing,,
global model management / mega-modeling,,
subspace clustering,,
video processing,,
intelligent transportation systems,,
megamodeling,,
stochastic analysis,,
kdd,,
point process,,
ir evaluation,,
aging,,
evidence-based software engineering,,
fuzzy logic,,
question answering,,
sketch recognition,,
cheminformatics,,
service robotics,,
bayesian network,,
structure learning,,
metadata,,
uncertainty in artificial intelligence,,
algebra,,
precision medicine,,
new internet: internet of things,,
networked game theory and economics,,
scholarly communication,,
software ecosystems,,
automated program verification,,
web search engines,,
statistics & applied probability,,
summarization,,
lifelogging,,
semiconductor manufacturing,,
heterogeneous graph,,
cognitive psychology,,
ontology learning,,
ir,,
applied algorithms,,
game playing,,
nano/bio-photonics,,
story segmentation,,
management science,,
personalized education,,
matrix and tensor computations,,
python,,
transmission line modeling,,
index compression,,
evolutionary computing,,
genetics,,
social networks & media,,
changepoints,,
constrained optimization,,
android,,
user behavior analysis,,
bio-/medical-/heath-informatics,,
search behavior,,
information search,,
crisis informatics,,
natural language processing.,,
domain-specific modeling,,
causal discovery,,
telecom data mining,,
specification languages,,
probability theory,,
wearable sensors,,
software clones,,
image/video computing,,
network representation,,
analytics & experimentation,,
explanations,,
experimental software engineering,,
finance,,
outlier mining,,
model-based engineering,,
natural language engineering,,
spatio-temporal,,
stringology,,
energy disaggregation,,
sensemaking,,
creativity,,
qsar,,
internet services,,
mesh,,
social good,,
task-aware search,,
biomedical and health informatics,,
learning to rank,,
advertising,,
molecular biophysics,,
probabilistic graphical models,,
multi-agent system,,
mobile imaging/display,,
crime,,
human-robot interaction,,
statistical physics,,
human computation and crowdsourcing,,
online learning to rank,,
itinerary recommendation,,
mobile robots,,
knowledge & conversation nl,,
cyber-physical system,,
advice taking,,
business process modelling,,
software analysis and transformation,,
ui programming,,
bayesian nonparametric,,
open access education,,
user modelling,,
nonstationarity,,
computational sustainability,,
design and foundations of programming languages,,Compilers
mobile applications and systems,,
multimedia analysis,,
web applications and browsers,,
multi-paradigm modelling (mpm),,
bubbles and crises,,
search engine,,
intelligent service computing,,
kernel method,,
knowledge technology,,
local search,,
bibliometrics,,
services/cloud computing,,
kinetic data structures,,
natural language procssing,,
adaptive games,,
product,,
multimodal video analysis,,
multimedia analytics,,
process analysis,,
meta-features,,
language composition,,
human mobility,,
spatial statistics,,
model-driven devleopment,,
human-computer,,
data ethics,,
visual analytics and image processing,,
architecture-conscious algorithms,,
image analysis,,
software refactoring,,
#bpm@qut,,
debugging complex models,,
information seeking behavior,,
dynamic treatment regime,,
medical software,,
reasoning under uncertainty,,
software language evaluation,,
route planning,,
interaction simulations,,
information networks,,
spatiotemporal modeling,,
statistical/probabilistic models,,
truthfulness,,
wavelets,,
hlt,,
model-driven software development,,
software product line,,
computer vision and pattern recognition,,
economic development,,
time use,,
program proof,,
mathematical modelling,,
cyber-physical-human systems,,
healthcare applications,,
affective computing,,
automatic reasoning,,
combinatorial optimisation,,
machine vision,,
statistical disclosure control,,
finite-time control,,
computers,,
bandits,,
answer set programming,,
software analysis and evolution,,
safety assurance,,
personalization,,
machine translation,,
authorship analysis,,
visualized data analytics and exploration,,
meta-tracing,,
genre,,
urban informatics,,
lattice theory,,
graphs and networks,,
temporal information retrieval,,
vision and language,,
enterprise search,,
neural computation,,
model transformation,,
statistical network analysis,,
user modeling,,
intelligent transportation system,,
conversational design,,
healthcare,,
digital health,,
#unitartucs,,
bayesian optimization,,
software quality management,,
topk query processing,,
mutation testing,,
truffle,,
biosecurity & public health,,
variability modeling,,
standards,,
web engineering,,
collective emotions,,
large scale networks,,
knowledge extraction,,
software tools,,
computational ecology,,
software engineering tools,,
applications in environmental and life sciences,,
web archiving,,
health,,
algorithm recommendation,,
economic computing,,
spreadsheet engineering,,
control,,
formal method,,
linguistics,,
statistical genetics,,
electroporation,,
location based services,,
variational programming,,
graphical models,,
code recommenders & api usage,,
deep generative models,,
location-based service,,
informetrics,,
open-source,,
natural language understanding,,
mathematical finance,,
grammarware,,
succinct data structures,,
preference learning,,
self,,
product-line engineering,,
reference capabilities,,
reputation and trust,,
social and information networks,,
static/dynamic program analysis,,
information seeking,,
historical and cross-language retrieval,,
language technology,,
intelligent education systems,,
efficient prediction,,
cognitive sciences,,
intelligent information retrieval,,
semantic matching,,
industrial engineering,,
mbse,,
robot perception,,
semantich search,,
search and online advertising,,
information retrieval and user-centric system evaluation,,
ophthalmology,,
software system,,
evaluation,,
image/video retrieval &indexing,,
high-dimensional statistics,,
testing and verification,,
bayesian nonparametrics,,
moocs,,
social,,
bayesian networks,,
graph representation learning,,
social search,,
mobile and wireless computing.,,
tensor factorisation,,
quantum physics,,
behavior modeling,,
feature subset selection,,
large scale matrix computations,,
intelligent qa and recommendation,,
smart home system,,
nlp and ir,,
energy efficiency optimization,,
accessibility,,
network simulation,,Network
cloud computing and cloud databases,,Cloud
end-to-end optimization,,
cryptocurrency protocols,,
bioinformatics and biomedical engineering,,
natural language_processing,,
telephony fraud,,Security
wireless & mobile systems security,,Security
distributed systems security and scalability,,Security
cloud computing/storage/download,,Cloud
nonvolative computing,,Storage
circuits,,
mathematical optimization,,
ferroelectric transistors,,
neural information retrieval,,Data
acceleration,,
programming model design,,Compilers
data converters,,
mixed-signal vlsi design,,Architecture
complier,Compiler,Compilers
auction theory,,
emerging technology,,
data processing engine,,
wireless networkings,,Network
ml,,Data
queueing games,,
policy,,
network i/o virtualization,,Network
apache software foundation,,
hadoop eco system projects,,
apache hadoop,,
apache hdfs,,
spoken language understanding,,
computer science and electrical engineering,,
bioimformatics,,
large scale environments,,
security&privacy,,Security
glassblowing,,
embedded sensing and computing.,,
sparse matrix algorithms,,
mobile devices,,
transportation systems,,
embedded real-time systems,,
chemical informatics,,
neuroprostheses,,
real-time and embedded systems,,OS
object,,
boolean satisfiability,,
pathology informatics,,
social and information media analysis,,
remote sensing and image understanding,,
quantitative finance,,
resilience and fault tolerance at extreme scale,,
computational geoinformatics,,
ai for finance,,
data pricing,,
high end computing,,
trust computing,,
algorithm-based fault tolerance (abft),,
virtual payment networks,,
locality,,
flow and congestion control,,
buffer management,,
video deconding,,
brain-machine interfaces,,
dadacenters,datacenters,,Cloud
data explanation,,Data
neurotechnology,,
boolean satisfiability and optimization,,
internet of things.,internet of things,,
hochleistungsrechnen,High-Performance Computing,HPC
decision support,,
simulators,,
neuroengineering,,
emering biometrics,emerging biometrics,Security
log analysis,,
extreme-scale machine learning,,HPC
relaying,,
autonomic computing in v,,
urban data analytics,,Data
content optimization,,
theory of computer science,,
ai and cloud computing infrastructure,,Cloud
computational biology (protein folding,computational biology (protein folding),HPC
stream mining,,Data
opinionated stream mining,,Data
change detection,,
cognitive computing systems,,
highly available systems,,
empirical asset pricing,,
ridesharing,,
smart transportation,,
distributed storage system,,Storage
random matrix,,
networked sensing and control,,Network
control system security,,Security
robust control and applications,,
